# E0_std_1 E0_std_2 gamma_1 gamma_2 Ru E0_mean alpha Cdl k0 E0_mean_offset
8.538153943894247200e-02 7.932565936061750089e-02 3.039563619708523878e-10 4.633722175724237232e-10 4.090414712240905715e+02 -4.052769390275808847e-01 4.157402331346003455e-01 2.045394317327393495e-04 2.152656796086601219e+02 4.694365303111607685e-02
7.594779486315954287e-02 7.752397283137658912e-02 2.836047645323097158e-10 5.090015015649064628e-10 3.870362799612534559e+02 -4.237473217429424954e-01 4.587074920256093424e-01 2.060334323569334557e-04 2.991417672160307575e+02 5.813694418901779043e-02
9.161923294926170580e-02 7.537762169263595435e-02 3.381242117088517011e-10 5.229672136464630698e-10 4.139334224488407017e+02 -4.232575204467703411e-01 4.000000000000000222e-01 2.092592336612203604e-04 3.218862305739306180e+02 4.467222575903539300e-02
9.043199569194057541e-02 7.915045657821555281e-02 3.090125805902632808e-10 6.018407920239211887e-10 3.521839955590726277e+02 -4.225900260529107388e-01 4.000000000000000222e-01 2.030964125791713700e-04 3.225002131083567747e+02 7.506719582987612938e-02
8.993159130214997687e-02 7.800724757338085846e-02 3.305317171181647383e-10 6.315257720793786859e-10 3.965476478445314683e+02 -4.224286261897023387e-01 4.275169312463059645e-01 2.066690421605259481e-04 3.671347168689729301e+02 4.301850906480197273e-02
8.770209430967200459e-02 6.320730609471349182e-02 3.569051086831089676e-10 3.596509109301636314e-10 3.419723380088179283e+02 -4.279069119484546491e-01 5.045363434346407105e-01 2.058005267970696047e-04 1.116701488773346114e+02 5.959591689651487501e-02
8.857155937042913985e-02 6.462953988452192766e-02 3.613563216084268275e-10 3.711406748141719425e-10 3.226442480007438007e+02 -4.277089937349261572e-01 5.032688709438063457e-01 2.021277445554512265e-04 1.104937240113446819e+02 5.586232350262284457e-02
8.468873849225179440e-02 6.123498505761743732e-02 2.950522483085288400e-10 4.030186351101678319e-10 3.347113614004814508e+02 -4.340258702479370401e-01 5.341462716460897431e-01 2.110114549030860283e-04 9.703051459711565485e+01 5.376443345933980961e-02
8.725210376139992674e-02 6.301251002656378664e-02 3.553438192582680163e-10 3.484844491490699899e-10 3.001697570987537347e+02 -4.308402152436270893e-01 5.109491919359980816e-01 2.019036063414462307e-04 1.085275433752330088e+02 6.073350529514389556e-02
9.001934798888712452e-02 6.331776323119728267e-02 3.313536936505641400e-10 3.643462085623263978e-10 3.150777583928134504e+02 -4.167668377114132627e-01 4.467914201676400632e-01 2.115946458492645114e-04 1.155627624262764215e+02 6.302187095574855735e-02
8.032314620063520094e-02 6.277792183047534169e-02 3.869922211627626575e-10 3.720891503295678766e-10 3.260752207752256027e+02 -4.210490664353669366e-01 5.412686245440517796e-01 2.077371437428629833e-04 9.895598090567729344e+01 5.789382060171655020e-02
7.526011313229345745e-02 6.350892668960135545e-02 2.951840371423932289e-10 4.285396603466644009e-10 2.880534152990005623e+02 -4.352222853201717090e-01 4.815042422156229351e-01 2.103843614627843835e-04 9.773293552203051604e+01 5.114023807294747898e-02
6.582253440122447230e-02 6.644353833811926513e-02 3.444864955913612591e-10 3.147534329717258646e-10 7.252121527108738519e+02 -4.323877776719242672e-01 5.247592592476680862e-01 2.181788246111884930e-04 1.116922155880902494e+02 8.322857867002494969e-02
8.383076021578408921e-02 6.633305614415668794e-02 5.107343176997151120e-10 3.754340275948519394e-10 6.345285106721347574e+02 -4.300007573235651304e-01 4.864370082242026050e-01 2.307973578134554663e-04 1.209425200845073789e+02 5.981471118080620292e-02
8.183945155810790073e-02 7.668802920466269435e-02 4.688162276647912703e-10 3.797677636740824627e-10 6.297346874037252746e+02 -4.192824276240704195e-01 4.609967411724561481e-01 2.348067244347887695e-04 2.025905975770997429e+02 6.579878896128739385e-02
7.731450829068797770e-02 7.819859657782274320e-02 4.574962735434806529e-10 4.320020957431193993e-10 6.628270715087481904e+02 -4.150763517724352925e-01 5.999999999999999778e-01 2.264046210823468844e-04 1.157268601094088609e+02 3.170561016274807409e-02
7.556170773573747668e-02 7.392145778286994540e-02 4.267527790244621425e-10 4.168345724536823282e-10 6.941879024045017559e+02 -4.128762668936363234e-01 5.999999999999999778e-01 2.325547982160355832e-04 9.986364012849709582e+01 3.315706138373512163e-02
8.520999570101454867e-02 6.328118038543251167e-02 4.118128233496893425e-10 3.645468781512192835e-10 7.237377159049185593e+02 -4.279275384775954594e-01 4.000000000000000222e-01 2.036330543195640852e-04 8.267710603983397277e+01 7.430620336881156585e-02
6.640103411400866129e-02 7.043757887059502731e-02 4.022230378279378416e-10 4.479239214548930089e-10 7.451566913639762788e+02 -4.225586091880936257e-01 5.999999999999999778e-01 2.167420102920029467e-04 1.367544537689753952e+02 5.395396961230145005e-02
7.076643230762756642e-02 6.806997094307738749e-02 4.462040887543890310e-10 3.056147407134093263e-10 7.600705747918572115e+02 -4.179679617997783536e-01 5.325676111338609742e-01 1.986702212303082904e-04 1.746460689133940321e+02 5.364798832783557875e-02
9.420420148711261543e-02 5.901109599172488923e-02 3.359774384276456497e-10 3.535101575279643718e-10 3.128000344898068761e+02 -4.260410902141245626e-01 4.000000000000000222e-01 1.988684196188776978e-04 1.045571552910760715e+02 3.769473652176177220e-02
8.749841179723859275e-02 9.385991849344041404e-02 3.075805981824457819e-10 4.467930739520981450e-10 3.815854625486956593e+02 -4.271012240682540151e-01 4.078716691793706772e-01 2.024118648425771345e-04 1.045619325183303658e+02 1.081436428885421651e-02
8.893566124248439286e-02 6.125588419619504982e-02 3.326537496716234004e-10 3.577963899529363101e-10 3.108916303179446459e+02 -4.352719692623692183e-01 4.687262764315275332e-01 1.886293346042134495e-04 9.638057156931799341e+01 5.803746253859591586e-02
7.972591413667712290e-02 6.111543727460556907e-02 3.216503862647062475e-10 3.713670919270319499e-10 2.852317696776733555e+02 -4.319836640852497411e-01 4.187546091784626334e-01 1.984291218063821943e-04 9.379902644442582016e+01 7.003040411513186680e-02
9.444710178993209748e-02 6.509111378409658533e-02 3.823519236210654876e-10 3.762168449582059001e-10 3.107890863990086245e+02 -4.370773475569127431e-01 4.000000000000000222e-01 1.828141081291605207e-04 9.806054986158633824e+01 6.207549939062329686e-02
9.106383504356646563e-02 4.205428164570777089e-02 3.492974602495018475e-10 2.925997145783468282e-10 3.431751969607645378e+02 -4.218151944063940340e-01 4.014282147730730554e-01 2.111804111460603066e-04 1.226992401057323008e+02 1.973949333235038711e-02
9.101196459550738027e-02 7.337148337809215604e-02 2.990500820574645469e-10 3.812090626030066105e-10 3.197430242840532628e+02 -4.292141283025203702e-01 4.000000000000000222e-01 1.932455610420672528e-04 9.939180072822348677e+01 4.803504998610698407e-02
8.446558881361063142e-02 5.270931833411790501e-02 2.948036119925765679e-10 2.907234632108768704e-10 4.018878983385504284e+02 -4.119078340868335131e-01 4.000000000000000222e-01 1.959036711521103258e-04 1.233630216406988040e+02 3.517863154326256875e-02
8.774716195895486404e-02 7.406513124337885112e-02 2.915131780305467680e-10 3.780327718705119155e-10 3.591725594267862220e+02 -4.216297011482375012e-01 4.000000000000000222e-01 1.798504599884843762e-04 1.015965743028825727e+02 4.244617977478255116e-02
9.275186627277809404e-02 5.990830626498756112e-02 2.914961013734513861e-10 3.368513199560917713e-10 2.646448385054725918e+02 -4.302936888217947509e-01 4.000000000000000222e-01 1.839097683562361974e-04 9.856461627576727835e+01 5.913296611583868795e-02
8.828589845858983431e-02 7.974434548523724742e-02 3.061918235530272409e-10 3.829457718014880997e-10 3.479909774748741143e+02 -4.205321961668547215e-01 4.804224596311746920e-01 2.024007227113743749e-04 1.273668278416394912e+02 5.989284808258289391e-03
7.277453702917000000e-02 1.199999999999999956e-01 3.527820823404063243e-10 4.446786387304424716e-10 3.409833944032264981e+02 -4.302476023669807859e-01 4.000000000000000222e-01 2.183565042631979648e-04 9.768831906758761363e+01 5.228808171206631578e-02
8.375499425134541598e-02 1.199999999999999956e-01 2.973944707174868493e-10 5.271320358539220030e-10 3.215622512479416741e+02 -4.170371397254256651e-01 4.298695213353372901e-01 2.197820743056841820e-04 1.082800343845688218e+02 5.775761376040039474e-02
8.317841424289096341e-02 7.176212138573474786e-02 2.981990348188288411e-10 3.373462094202330894e-10 3.757251945300301372e+02 -4.239142421372271707e-01 4.000000000000000222e-01 2.110443605976055617e-04 1.560918117571498556e+02 7.628718671664816431e-02
8.400995353353583883e-02 6.410656093376422560e-02 2.946238700692169073e-10 4.262345397688926078e-10 3.278379212895679302e+02 -4.262663414609905166e-01 4.000000000000000222e-01 2.265974323439611817e-04 1.005443575584346121e+02 6.518127322079021735e-02
8.955410909487312998e-02 6.941136040863514489e-02 3.277314850382234601e-10 4.485127446500773836e-10 3.382194055211999739e+02 -4.292685022701235864e-01 4.000000000000000222e-01 2.113909716010622941e-04 1.345676085097860550e+02 6.641577584673759305e-02
8.249680446558509128e-02 6.778959061753532522e-02 2.669154309265526688e-10 3.903443094101802985e-10 3.141332909913384128e+02 -4.296285401118999370e-01 4.000000000000000222e-01 2.103888073245544768e-04 8.048349298664132334e+01 6.136258187441426259e-02
9.336725438706149072e-02 7.189447526563179369e-02 3.546993282195937054e-10 2.957252217141881772e-10 3.523408739568575356e+02 -4.335046416570973449e-01 4.000000000000000222e-01 2.074221316232881089e-04 1.810377583303553592e+02 7.725972535070418923e-02
6.781793162432454836e-02 6.612127047261204260e-02 3.106991938496960196e-10 3.865588345968042395e-10 3.169305132868596502e+02 -4.357738255411370831e-01 4.000000000000000222e-01 2.233340267271447215e-04 9.358725507638642682e+01 6.469037321955457831e-02
7.348288151631074405e-02 6.448567063053944892e-02 1.805540125862146303e-10 3.803200238920112083e-10 4.121334771964907304e+02 -4.420003540771055284e-01 4.688931538520443310e-01 2.122801978608623451e-04 9.028951676958079986e+01 6.247326467932937805e-02
5.482784643532174346e-02 6.541519258230441003e-02 3.362551465719585970e-10 3.721970597762078368e-10 7.320143413137104744e+02 -4.359323622467732307e-01 4.053553297618097129e-01 2.181801275378341906e-04 7.868043685379669228e+01 6.152763139673048109e-02
5.814153287358312522e-02 1.199999999999999956e-01 3.242529253214477564e-10 5.465094094481191221e-10 7.007010841184778656e+02 -4.217242245933274791e-01 4.000000000000000222e-01 2.383769254078206004e-04 1.137577198278080175e+02 0.000000000000000000e+00
8.991741218251757262e-02 8.675629400748730014e-02 3.066481125875590210e-10 4.036386864475210925e-10 3.745198934842853191e+02 -4.249067007539041319e-01 5.647584161395889923e-01 2.072000560241002843e-04 1.284225255481584895e+02 4.834719260946208907e-02
8.839645031165567490e-02 6.379057842196717010e-02 3.172055914458270633e-10 3.594944207929495100e-10 3.239583147794494948e+02 -4.272842896210400365e-01 5.999999999999999778e-01 2.105991033179753036e-04 1.241080845101891157e+02 1.054521634001501923e-01
9.168323130294986356e-02 7.334690905265998928e-02 3.264580769945983791e-10 4.005077325059649300e-10 3.952059738676836673e+02 -4.214548347177327070e-01 5.999999999999999778e-01 2.091638265588899120e-04 2.281519184488308838e+02 8.893166707123981163e-02
8.350164630862390303e-02 9.611470501887757478e-02 3.362421665790317443e-10 4.184219218254997348e-10 3.203385938599057567e+02 -4.282661583013062101e-01 5.999999999999999778e-01 2.165192778780791131e-04 8.065004235580494196e+01 1.970171809794809548e-01
9.386590685326413885e-02 5.692861502564949133e-02 3.083455260825487372e-10 4.583978450222841471e-10 3.841855250247490972e+02 -4.168898277016869769e-01 5.999999999999999778e-01 2.030575571373556499e-04 3.206392807734458756e+02 7.186314972529429801e-02
1.098305519398616870e-01 6.181396141981332359e-02 3.185072035431866977e-10 4.387012654507804964e-10 4.054529862662815844e+02 -4.153520611812914209e-01 5.999999999999999778e-01 2.019629770612327855e-04 2.352856831177064976e+02 1.172680955379297868e-01
8.961674347711431898e-02 1.000000000000000021e-03 4.597625975788467664e-10 9.999999999999999395e-12 6.462584849467473305e+02 -4.315868163061218343e-01 4.000000000000000222e-01 2.264782163641814632e-04 6.282816804669377007e+02 0.000000000000000000e+00
8.399218503541015790e-02 5.520605569146930930e-02 2.918403622388470442e-10 3.811451250002852420e-10 3.664090757170123425e+02 -4.179112345622846281e-01 4.000000000000000222e-01 2.141209330609038122e-04 1.073561944352464366e+02 5.916928802490597356e-02
7.350609697334832549e-02 4.330380530324912797e-02 2.970949011533693252e-10 3.606757564465391280e-10 3.260708949173455267e+02 -4.225900651979145328e-01 4.285373114607301526e-01 2.202735525232205050e-04 5.867035152242187479e+01 6.235718335605987261e-02
8.000785930773997301e-02 5.017821350868395536e-02 2.798983672675604404e-10 3.628257056861096876e-10 3.490703623436979228e+02 -4.238363627116945587e-01 4.723347063663397294e-01 2.265409746152021104e-04 6.794592439868583256e+01 5.378359968154636239e-02
8.096803998755858212e-02 5.952127366598312930e-02 2.626441201615517703e-10 4.613593215356415417e-10 3.522146549433023210e+02 -4.205543877288442922e-01 4.689143814262592413e-01 2.120277505841375082e-04 9.027855875495973237e+01 4.914526832719676164e-02
7.709977360746528285e-02 3.171950396921161680e-02 4.229861001327906145e-10 2.410502587973394428e-10 6.431474461567755725e+02 -4.251258134120279308e-01 5.999999999999999778e-01 2.303231904327312672e-04 1.582383711477179418e+02 3.011876069704943690e-02
8.013156603105582587e-02 5.989953140100489487e-02 3.796426175433415975e-10 4.024355674614610984e-10 6.580343838844896709e+02 -4.260842672509715934e-01 5.335912236018360844e-01 2.434951457665869643e-04 7.297757011468578980e+01 5.697344092843904112e-02
